section,table_name,column_name,data_type,related_table,related_column,relationship_type,trigger_name,trigger_event,trigger_action
FOREIGN_KEY,activity_logs,user_id,null,users,id,activity_logs_user_id_fkey,null,null,null
FOREIGN_KEY,gift_code_redemptions,gift_code_id,null,gift_codes,id,gift_code_redemptions_gift_code_id_fkey,null,null,null
FOREIGN_KEY,gift_code_redemptions,user_id,null,users,id,gift_code_redemptions_user_id_fkey,null,null,null
FOREIGN_KEY,investments,user_id,null,users,id,investments_user_id_fkey,null,null,null
FOREIGN_KEY,real_balance_transactions,user_id,null,users,id,real_balance_transactions_user_id_fkey,null,null,null
FOREIGN_KEY,referral_bonus_queue,referrer_id,null,users,id,referral_bonus_queue_referrer_id_fkey,null,null,null
FOREIGN_KEY,referral_bonus_queue,referred_id,null,users,id,referral_bonus_queue_referred_id_fkey,null,null,null
FOREIGN_KEY,referrals,referred_id,null,users,id,referrals_referred_id_fkey,null,null,null
FOREIGN_KEY,referrals,referrer_id,null,users,id,referrals_referrer_id_fkey,null,null,null
FOREIGN_KEY,spin_attempts,user_id,null,users,id,spin_attempts_user_id_fkey,null,null,null
FOREIGN_KEY,suspicious_activity,user_id,null,users,id,suspicious_activity_user_id_fkey,null,null,null
FOREIGN_KEY,suspicious_activity,reviewed_by,null,users,id,suspicious_activity_reviewed_by_fkey,null,null,null
FOREIGN_KEY,task_completions,user_id,null,users,id,task_completions_user_id_fkey,null,null,null
FOREIGN_KEY,transactions,user_id,null,users,id,transactions_user_id_fkey,null,null,null
FOREIGN_KEY,user_activity_logs,user_id,null,users,id,user_activity_logs_user_id_fkey,null,null,null
FOREIGN_KEY,user_checkins,user_id,null,users,id,user_checkins_user_id_fkey,null,null,null
FOREIGN_KEY,user_daily_activity,user_id,null,users,id,user_daily_activity_user_id_fkey,null,null,null
FOREIGN_KEY,users,referred_by,null,users,id,users_referred_by_fkey,null,null,null
FOREIGN_KEY,withdrawal_requests,user_id,null,users,id,withdrawal_requests_user_id_fkey,null,null,null
FOREIGN_KEY,withdrawal_requests,transaction_id,null,transactions,id,withdrawal_requests_transaction_id_fkey,null,null,null
TABLE_COLUMN,activation_payments,amount,numeric,null,null,null,null,null,null
TABLE_COLUMN,activation_payments,status,text,null,null,null,null,null,null
TABLE_COLUMN,activation_payments,user_id,uuid,null,null,null,null,null,null
TABLE_COLUMN,activation_payments,id,uuid,null,null,null,null,null,null
TABLE_COLUMN,activation_payments,created_at,timestamp with time zone,null,null,null,null,null,null
TABLE_COLUMN,activation_payments,confirmed_at,timestamp with time zone,null,null,null,null,null,null
TABLE_COLUMN,activation_payments,updated_at,timestamp with time zone,null,null,null,null,null,null
TABLE_COLUMN,activation_payments,payhero_response,jsonb,null,null,null,null,null,null
TABLE_COLUMN,activation_payments,external_reference,text,null,null,null,null,null,null
TABLE_COLUMN,activity_logs,event_type,text,null,null,null,null,null,null
TABLE_COLUMN,activity_logs,severity,text,null,null,null,null,null,null
TABLE_COLUMN,activity_logs,details,jsonb,null,null,null,null,null,null
TABLE_COLUMN,activity_logs,ip,inet,null,null,null,null,null,null
TABLE_COLUMN,activity_logs,device_info,jsonb,null,null,null,null,null,null
TABLE_COLUMN,activity_logs,created_at,timestamp with time zone,null,null,null,null,null,null
TABLE_COLUMN,activity_logs,id,uuid,null,null,null,null,null,null
TABLE_COLUMN,activity_logs,user_id,uuid,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,new_users,integer,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,total_investment_returns,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,total_investment_volume,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,stat_date,date,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,total_gift_code_credits,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,total_spin_wins,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,total_referral_earnings,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,total_task_earnings,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,active_task_users,integer,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,total_withdrawals,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,total_deposits,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_daily_statistics,total_users,integer,null,null,null,null,null,null
TABLE_COLUMN,admin_gift_code_redemptions,gift_code_id,uuid,null,null,null,null,null,null
TABLE_COLUMN,admin_gift_code_redemptions,id,uuid,null,null,null,null,null,null
TABLE_COLUMN,admin_gift_code_redemptions,gift_code,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_gift_code_redemptions,user_email,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_gift_code_redemptions,user_phone,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_gift_code_redemptions,user_name,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_gift_code_redemptions,main_wallet_reward,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_gift_code_redemptions,income_wallet_reward,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_gift_code_redemptions,redeemed_at,timestamp with time zone,null,null,null,null,null,null
TABLE_COLUMN,admin_gift_code_redemptions,user_id,uuid,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,user_phone,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,id,uuid,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,user_id,uuid,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,created_at,timestamp with time zone,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,bank_name,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,amount,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,daily_rate,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,duration_days,integer,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,user_email,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,user_name,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,metadata,jsonb,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,withdrawn_at,timestamp with time zone,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,maturity_date,date,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,status,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_investments_with_users,current_value,numeric,null,null,null,null,null,null
TABLE_COLUMN,admin_referrals_with_users,referrer_id,uuid,null,null,null,null,null,null
TABLE_COLUMN,admin_referrals_with_users,id,uuid,null,null,null,null,null,null
TABLE_COLUMN,admin_referrals_with_users,referred_name,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_referrals_with_users,referred_phone,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_referrals_with_users,referrer_phone,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_referrals_with_users,referrer_name,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_referrals_with_users,is_active,boolean,null,null,null,null,null,null
TABLE_COLUMN,admin_referrals_with_users,referred_email,character varying,null,null,null,null,null,null
TABLE_COLUMN,admin_referrals_with_users,referrer_email,character varying,null,null,null,null,null,null
